Name,Lat,Lng,Address,Features,Agoda,Slug
元気カフェtayu taya,43.0619392,141.3547235,〒060-0001 北海道札幌市中央区北１条西２丁目,coffee shop | cafe | food store | store | food | point of interest | Google rating 4.1,
Thumbs up coffee stand,43.0705792,141.3588390,〒006-0907 北海道札幌市東区北７条東３丁目15−２２ タウンローヤル73,cafe | japanese izakaya restaurant | japanese restaurant | restaurant | food | point of interest | Google rating 4.8,
札幌プリンスホテル オールデイダイニング グランデュール,43.0558060,141.3407142,〒060-8615 北海道札幌市中央区南２条西１１丁目,buffet restaurant | seafood restaurant | cafe | western restaurant | italian restaurant | restaurant | Google rating 3.1,
ティールームモンテローザ4634,43.0808197,141.3429134,〒001-0017 北海道札幌市北区北１７条西６丁目１−２４,cafe | food | point of interest | establishment | Google rating 4.7,
紙風船,43.0808660,141.3635110,〒065-0015 北海道札幌市東区北１５条東７丁目１−２４,cafe | point of interest | food | establishment | Google rating 4.2,
パティスリー&ラウンジ「カフェ・セゾン」,43.0475626,141.3521618,〒064-0810 北海道札幌市中央区南１０条西６丁目１−２１,cafe | point of interest | food | establishment | Google rating 4.3,
NAMAKEMONO CAFE 札幌,43.0385515,141.3614974,〒062-0921 北海道札幌市豊平区中の島１条１丁目２−１４,cafe | bagel shop | bakery | point of interest | food store | food | Google rating 4.4,
桑園珈琲,43.0704506,141.3317119,〒060-0010 北海道札幌市中央区北１０条西１５丁目,coffee shop | cafe | point of interest | food store | food | store | Google rating 3.7,
STUDIO MILK（スタジオ・ミルク）,43.0866459,141.3491085,〒065-0021 北海道札幌市東区北２１条東１丁目１−２１,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.4,
コーヒーショップ・Ｈａｎａ,43.0585802,141.3722557,〒003-0803 北海道札幌市白石区菊水３条１丁目８−２２ ノースピア菊水,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.6,
喫茶ひしがた,43.0942964,141.3607065,〒065-0025 北海道札幌市東区北２５条東８丁目２−１,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.5,
珈琲太郎本舗,43.1040990,141.3468586,〒007-0836 北海道札幌市東区北３６条東１丁目５−5番1号 大越ビル 1階,cafe | point of interest | food | establishment | Google rating 4.8,
スイーツカフェ AMU CHOCO(アムチョコ),43.0494605,141.3809062,〒003-0001 北海道札幌市白石区東札幌１条１丁目７−３２,cafe | pastry shop | dessert shop | confectionery | bakery | point of interest | Google rating 4.2,
椿サロン 本店,43.0667292,141.3260790,〒060-0007 北海道札幌市中央区北７条西１９丁目１−２ momijiビル １F,cafe | coffee shop | food store | food | point of interest | store | Google rating 4,
パティスリー アモングー,43.0791503,141.3731425,〒065-0012 北海道札幌市東区北１２条東１３丁目２−１８ 環状通東駅徒歩5分（北郷通沿い）2階カフェの営業時間は11時から18時半までとなります。,cake shop | cafe | bakery | wholesaler | point of interest | food store | Google rating 4,
マクドナルド 南新川店,43.0876287,141.3280788,〒001-0023 北海道札幌市北区北２３条西１４丁目６−１,fast food restaurant | hamburger restaurant | coffee shop | cafeteria | cafe | american restaurant | Google rating 3.7,
パティズガーデン,43.0523126,141.3354903,〒064-0805 北海道札幌市中央区南５条西１４丁目３−１２,cafe | point of interest | food | establishment | Google rating 4.9,
Cafe TONTON,43.0474454,141.4601646,〒004-0062 北海道札幌市厚別区厚別西２条２丁目３−５,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.1,
ミュージアムカフェ ぽらす,43.0723519,141.3422398,〒060-0810 北海道札幌市北区北１０条西８丁目 大学総合博物館 １F,cafe | point of interest | food | establishment | Google rating 4.4,
象の鼻テラス,35.4465680,139.6430980,〒231-0002 神奈川県横浜市中区海岸通1丁目,cafe | art space | scenic | food | point of interest | establishment,zou_no_hana_terrace_yokohama
TRUNK COFFEE BAR 高岳本店,35.1688760,136.9323800,〒461-0011 愛知県名古屋市東区泉2-28-24 東和高岳ビル1F,coffee shop | cafe | bar | roastery | food | point of interest,trunk_coffee_bar_nagoya_takaoka
神戸にしむら珈琲店 元町店,34.6894560,135.1868920,〒650-0022 兵庫県神戸市中央区元町通2丁目6-3,coffee shop | cafe | vintage | dessert shop | food | point of interest,nishimura_coffee_kobe_motomachi
OBSCURA COFFEE ROASTERS Hiroshima Fukurocho,34.3928560,132.4546230,〒730-0036 広島県広島市中区袋町3-28,coffee shop | cafe | coffee roastery | food store | food | point of interest,obscura_coffee_hiroshima_fukurocho
45COFFEE ROASTERY,38.2628920,140.8716230,〒980-0811 宮城県仙台市青葉区一番町3-3-20,coffee shop | cafe | coffee roastery | food store | specialty | point of interest,45coffee_roastery_sendai
Merisis Coffee Brewers,26.2155000,127.6862000,〒900-0022 沖縄県那覇市樋川2丁目6-3 新垣家住宅103,coffee shop | cafe | brunch restaurant | dessert shop | food | point of interest,merisis_coffee_naha
Curio Espresso and Vintage Design,36.5638890,136.6566670,〒920-0854 石川県金沢市安江町1-13,coffee shop | cafe | breakfast restaurant | food | point of interest | establishment,curio_espresso_kanazawa
Rain Tree Coffee,35.3186000,139.5502000,〒248-0006 神奈川県鎌倉市小町2-7-28,coffee shop | cafe | food store | food | point of interest | establishment,rain_tree_coffee_kamakura
Bakery & Table 箱根,35.2138890,139.0263890,〒250-0522 神奈川県足柄下郡箱根町元箱根9-1,cafe | bakery | coffee shop | scenic | food | point of interest,bakery_and_table_hakone
Bongo Coffee Karuizawa,36.3428060,138.6351940,〒389-0102 長野県北佐久郡軽井沢町軽井沢813-1,coffee shop | cafe | coffee roastery | food store | scenic | point of interest,bongo_coffee_karuizawa
